year,address,lat,lng,workers
2010,"Loudonville, OH 44842, USA",40.63533820000001,-82.23321440000002,4
2010,"Madison, OH, United States",41.7711982727051,-81.0500793457031,33
2010,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2010,"Mason, OH, United States",39.356971740722706,-84.29762268066409,4
2010,"Medway, OH, United States",39.8823204040527,-84.0100326538086,4
2010,"New Carlisle, OH, United States",39.936550140380895,-84.02503967285159,80
2010,"North Royalton, OH 44133, USA",41.3136644,-81.72457390000002,4
2010,"Painesville, OH, United States",41.7242393493652,-81.2452774047852,24
2010,"Perry, OH, United States",41.771671295166,-81.14666748046879,235
2010,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2010,"Springfield, OH, USA",39.9242266,-83.8088171,4
2010,"Valley City, OH, United States",41.23765182495121,-81.929817199707,5
2010,"Valley View, OH 44125, USA",41.3878312,-81.6045685,15
2010,"West Chester Township, OH, USA",39.33212620000001,-84.41726659999998,8
2011,"Ashville, OH 43103, USA",39.7156186,-82.9529584,4
2011,"Avon, OH, USA",41.4517093,-82.0354225,266
2011,"Chardon, OH 44024, USA",41.5786639,-81.2133262,3
2011,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,21
2011,"Circleville, OH 43113, USA",39.600618,-82.94601329999998,10
2011,"Copley Township, OH, USA",41.0875099,-81.6363869,16
2011,"Hamilton County, OH, USA",39.23554470000001,-84.56414699999998,8
2011,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,40
2011,"Huron, OH, United States",41.3909111022949,-82.5583877563477,26
2011,"Loudonville, OH 44842, USA",40.63533820000001,-82.23321440000002,4
2011,"Lowell, OH, United States",39.5300407409668,-81.5085220336914,20
2011,"Madison, OH, United States",41.7711982727051,-81.0500793457031,32
2011,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,3
2011,"Mason, OH, United States",39.356971740722706,-84.29762268066409,4
2011,"Medway, OH, United States",39.8823204040527,-84.0100326538086,4
2011,"New Carlisle, OH, United States",39.936550140380895,-84.02503967285159,85
2011,"North Royalton, OH 44133, USA",41.3136644,-81.72457390000002,4
2011,"Painesville, OH, United States",41.7242393493652,-81.2452774047852,22
2011,"Perry, OH, United States",41.771671295166,-81.14666748046879,147
2011,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2011,"Valley City, OH, United States",41.23765182495121,-81.929817199707,3
2011,"Valley View, OH 44125, USA",41.3878312,-81.6045685,15
2011,"Washington Court House, OH 43160, USA",39.5364511,-83.4390843,2
2012,"Akron, OH, USA",41.08144470000001,-81.51900529999998,2
2012,"Ashville, OH 43103, USA",39.7156186,-82.9529584,4
2012,"Avon, OH, USA",41.4517093,-82.0354225,270
2012,"Chardon, OH 44024, USA",41.5786639,-81.2133262,4
2012,"Chesterland, OH 44026, USA",41.5222735,-81.33788740000001,14
2012,"Circleville, OH 43113, USA",39.600618,-82.94601329999998,20
2012,"Copley Township, OH, USA",41.0875099,-81.6363869,20
2012,"Dalton, OH 44618, USA",40.7989449,-81.6954067,1
2012,"Hamilton County, OH, USA",39.23554470000001,-84.56414699999998,6
2012,"Hartville, OH 44632, USA",40.9636685,-81.33121949999997,40
2012,"Huron, OH, United States",41.3909111022949,-82.5583877563477,25
2012,"Loudonville, OH 44842, USA",40.63533820000001,-82.23321440000002,3
2012,"Madison, OH, United States",41.7711982727051,-81.0500793457031,40
2012,"Mantua, OH, United States",41.283729553222706,-81.2239990234375,4
2012,"Medway, OH, United States",39.8823204040527,-84.0100326538086,4
2012,"New Carlisle, OH, United States",39.936550140380895,-84.02503967285159,84
2012,"North Royalton, OH 44133, USA",41.3136644,-81.72457390000002,4
2012,"Painesville, OH, United States",41.7242393493652,-81.2452774047852,18
2012,"Perry, OH, United States",41.771671295166,-81.14666748046879,182
2012,"Portland, OH, United States",39.0013999938965,-81.7738800048828,24
2012,"Sabina, OH 45169, USA",39.4886732,-83.6368659,2
2012,"Sabrina Dr, Youngstown, OH 44512, USA",41.0178719,-80.686284,2
2012,"Valley City, OH, United States",41.23765182495121,-81.929817199707,3
2013,"Akron, OH, USA",41.08144470000001,-81.51900529999998,2
2013,"Ashville, OH 43103, USA",39.7156186,-82.9529584,4
2013,"Avon, OH, USA",41.4517093,-82.0354225,290
2013,"Chardon, OH 44024, USA",41.5786639,-81.2133262,4
